Title,Description,Priority,Team,Labels
"Backend разработка","Разработка новых функций для ботов, интеграция с внешними API (Square, 1C, CRM), оптимизация производительности, рефакторинг кода, написание и поддержка тестов, исправление багов",Medium,ENGINE,Development
"Frontend разработка","Разработка новых страниц и компонентов, улучшение UX/UI, адаптация под разные устройства, интеграция с Telegram Web App API, оптимизация загрузки",Medium,ENGINE,Development
"База данных","Проектирование новых таблиц, миграции схемы БД, оптимизация запросов, настройка RLS политик, резервное копирование",Medium,ENGINE,Development
"DevOps и инфраструктура","Настройка CI/CD, мониторинг и алертинг, масштабирование инфраструктуры, безопасность и аудит, документация по деплою",High,ENGINE,Development
"Управление партнерами","Модерация заявок партнеров, онбординг новых партнеров, поддержка партнеров, обучение партнеров работе с системой, контроль качества услуг партнеров, управление тарифными планами",High,ENGINE,Operations
"Управление клиентами","Обработка обращений клиентов, решение проблем клиентов, модерация контента (UGC), управление промоутерами, анализ поведения клиентов",Medium,ENGINE,Operations
"Контент и маркетинг","Создание новостей, перевод контента (RU/EN), создание промо-материалов, управление акциями, Instagram Outreach кампании, контент-стратегия",Medium,MARKET,Marketing
"Финансы и аналитика","Расчет Revenue Share, управление подписками, финансовая отчетность, анализ метрик (NPS, конверсии, удержание), прогнозирование доходов",High,ENGINE,Finance
"Планирование продукта","Roadmap разработки, приоритизация функций, user research, A/B тестирование, сбор обратной связи",High,ENGINE,Product
"Развитие продукта","Новые функции и фичи, интеграции с внешними сервисами, улучшение существующих функций, масштабирование на новые рынки",Medium,ENGINE,Product
"Маркетинг","Контент-маркетинг (блог, соцсети), email-маркетинг, партнерский маркетинг, реклама и продвижение, события и вебинары",High,MARKET,Marketing
"Продажи","Входящие лиды, исходящие продажи, демо-звонки, закрытие сделок, управление воронкой продаж",High,MARKET,Sales
"Техническая поддержка","Обработка тикетов, решение технических проблем, обучение пользователей, документация для пользователей",Medium,MARKET,Customer Success
"Качество сервиса","Мониторинг NPS, анализ обратной связи, улучшение процессов, SLA управление",Medium,MARKET,Customer Success
"Создание отдела разработки","Создать структуру отдела разработки с функциями, командой, проектами, задачами, метриками и документами. Руководитель: Tech Lead / CTO. Команда: Backend разработчики, Frontend разработчики, DevOps инженеры",High,ENGINE,Development
"Создание отдела продукта","Создать структуру отдела продукта с функциями, командой, проектами, задачами, метриками и документами. Руководитель: Product Manager / CPO. Команда: Product Managers, UX/UI дизайнеры, Аналитики",High,ENGINE,Product
"Создание отдела маркетинга","Создать структуру отдела маркетинга с функциями, командой, проектами, задачами, метриками и документами. Руководитель: Marketing Director / CMO. Команда: Маркетологи, Контент-менеджеры, SMM специалисты",High,MARKET,Marketing
"Создание отдела продаж","Создать структуру отдела продаж с функциями, командой, проектами, задачами, метриками и документами. Руководитель: Sales Director / Head of Sales. Команда: Sales Managers, Account Managers, SDR",High,MARKET,Sales
"Создание отдела поддержки клиентов","Создать структуру отдела поддержки клиентов с функциями, командой, проектами, задачами, метриками и документами. Руководитель: Head of Customer Success. Команда: Customer Success Managers, Support специалисты",High,MARKET,Customer Success
"Создание отдела операций","Создать структуру отдела операций с функциями, командой, проектами, задачами, метриками и документами. Руководитель: COO / Operations Manager. Команда: Операционные менеджеры, Модераторы, Аналитики",High,ENGINE,Operations
"Создание отдела финансов","Создать структуру отдела финансов с функциями, командой, проектами, задачами, метриками и документами. Руководитель: CFO / Finance Manager. Команда: Финансовые аналитики, Бухгалтеры",High,ENGINE,Finance
"Создание отдела контента","Создать структуру отдела контента с функциями, командой, проектами, задачами, метриками и документами. Руководитель: Content Director. Команда: Копирайтеры, Переводчик, Дизайнеры",Medium,MARKET,Content
"Интеграция с Square POS","Исследование Square API, проектирование интеграции, разработка модуля интеграции, тестирование, документация. Отдел: Разработка",High,ENGINE,Development
"Улучшение аналитики для партнеров","Сбор требований от партнеров, проектирование дашборда, разработка новых метрик, UI/UX дизайн, разработка frontend, тестирование. Отдел: Продукт + Разработка",Medium,ENGINE,Product
"Instagram Outreach кампания Q1","Подготовка контента, настройка автоматизации, запуск кампании, мониторинг результатов, оптимизация. Отдел: Маркетинг",High,MARKET,Marketing
"Онбординг новых партнеров","Создание процесса онбординга, подготовка материалов, обучение команды, автоматизация процессов, метрики успешности. Отдел: Поддержка клиентов + Операции",High,MARKET,Customer Success
"Создание главной страницы Dashboard","Создать главную страницу с обзором всех проектов и задач, ключевыми метриками (KPI), статусами отделов, ближайшими дедлайнами, активными проектами",High,ENGINE,Product
"Создание структуры отделов в Notion","Создать страницы для каждого отдела с описанием функций, командой отдела (роли и ответственные), проектами отдела, задачами отдела, метриками отдела (KPI dashboard), документами отдела",High,ENGINE,Product
"Создание базы данных Проекты","Настроить базу данных проектов с названием и описанием, отделом-владельцем, статусом, приоритетом, дедлайном, командой проекта, задачами проекта, метриками проекта, документами и ресурсами",High,ENGINE,Product
"Создание базы данных Задачи","Настроить базу данных задач с названием, описанием, проектом, отделом, исполнителем, статусом, приоритетом, дедлайном, чеклистом, комментариями, вложениями",High,ENGINE,Product
"Создание базы данных Команда","Настроить базу данных команды с организационной структурой, ролями и ответственностью, контактами, навыками и экспертизой",Medium,ENGINE,Product
"Создание базы данных Метрики","Настроить базу данных метрик с KPI Dashboard, метриками по отделам, метриками по проектам, финансовыми метриками, продуктовыми метриками, отчетами",High,ENGINE,Product
"Создание базы данных Документы","Настроить базу данных документов с процессами и инструкциями, шаблонами документов, базой знаний, обучающими материалами, политиками и стандартами",Medium,ENGINE,Product
"Настройка связей между базами данных","Настроить связи между базами данных проектов, задач, команды, метрик и документов",High,ENGINE,Product
"Создание шаблонов для проектов и задач","Создать шаблоны для проектов и задач в Notion для стандартизации работы",Medium,ENGINE,Product
"Настройка Kanban досок","Настроить Kanban доски для визуализации задач по отделам и проектам",Medium,ENGINE,Product
"Настройка Timeline и календаря","Настроить Timeline для проектов и календарь для событий, дедлайнов проектов, релизов, событий компании",Medium,ENGINE,Product
"Настройка метрик и KPI","Настроить метрики и KPI для каждого отдела: скорость разработки, покрытие тестами, время деплоя, количество багов, uptime системы, конверсия пользователей, retention rate, feature adoption rate, NPS продукта, количество лидов, CPL, conversion rate, engagement rate, ROI маркетинга, количество сделок, average deal size, sales cycle, MRR, CSAT, NPS, time to first value, churn rate, expansion revenue, время модерации, качество модерации, операционная эффективность, SLA compliance, ARR, CAC, LTV",High,ENGINE,Product
"Настройка автоматизации","Настроить автоматические обновления статусов, напоминания о дедлайнах, автоматические отчеты, уведомления",Medium,ENGINE,Product
"Настройка прав доступа","Настроить разграничение доступа по отделам, роли пользователей, аудит действий",High,ENGINE,Product
"Интеграция с GitHub","Настроить связь с GitHub для задач разработки",Medium,ENGINE,Development
"Интеграция с календарем","Настроить интеграцию с календарем для событий и дедлайнов",Medium,ENGINE,Product
"Настройка экспорта данных","Настроить возможность экспорта данных из ERP системы",Low,ENGINE,Product
"Обучение команды работе с ERP","Обучить команду работе с ERP системой, собрать обратную связь, итеративно улучшать",High,ENGINE,Product

